title,year,duration,pg,rating,url
Os Melhores Anos de Nossa Vida,1946,2h 50m,Livre,"8,1",https://www.imdb.com/pt/title/tt0036868/?ref_=chttp_t_226
Antes do Pôr do Sol,2004,1h 20m,12,"8,1",https://www.imdb.com/pt/title/tt0381681/?ref_=chttp_t_227
O Exorcista,1973,2h 2m,14,"8,1",https://www.imdb.com/pt/title/tt0070047/?ref_=chttp_t_228
A Noviça Rebelde,1965,2h 52m,Livre,"8,1",https://www.imdb.com/pt/title/tt0059742/?ref_=chttp_t_229
O Martírio de Joana D'Arc,1928,1h 50m,14,"8,1",https://www.imdb.com/pt/title/tt0019254/?ref_=chttp_t_230
Os Incríveis,2004,1h 55m,Livre,"8,0",https://www.imdb.com/pt/title/tt0317705/?ref_=chttp_t_231
O Mágico de Oz,1939,1h 42m,Livre,"8,1",https://www.imdb.com/pt/title/tt0032138/?ref_=chttp_t_232
Sempre ao Seu Lado,2009,1h 33m,Livre,"8,1",https://www.imdb.com/pt/title/tt1028532/?ref_=chttp_t_233
Rush: No Limite da Emoção,2013,2h 3m,14,"8,1",https://www.imdb.com/pt/title/tt1979320/?ref_=chttp_t_234
Conta Comigo,1986,1h 29m,12,"8,1",https://www.imdb.com/pt/title/tt0092005/?ref_=chttp_t_235
Ainda Estou Aqui,2024,2h 17m,14,"8,2",https://www.imdb.com/pt/title/tt14961016/?ref_=chttp_t_236
Meu Pai e Meu Filho,2005,1h 52m,Not Rated,"8,2",https://www.imdb.com/pt/title/tt0476735/?ref_=chttp_t_237
Rede de Intrigas,1976,2h 1m,14,"8,1",https://www.imdb.com/pt/title/tt0074958/?ref_=chttp_t_238
O Gigante de Ferro,1999,1h 26m,Livre,"8,1",https://www.imdb.com/pt/title/tt0129167/?ref_=chttp_t_239
A Criada,2016,2h 25m,18,"8,1",https://www.imdb.com/pt/title/tt4016934/?ref_=chttp_t_240
A Voz do Silêncio,2016,2h 10m,14,"8,1",https://www.imdb.com/pt/title/tt5323662/?ref_=chttp_t_241
A Batalha de Argel,1966,2h 1m,14,"8,1",https://www.imdb.com/pt/title/tt0058946/?ref_=chttp_t_242
Ser ou Não Ser,1942,1h 39m,Livre,"8,1",https://www.imdb.com/pt/title/tt0035446/?ref_=chttp_t_243
As Vinhas da Ira,1940,2h 9m,12,"8,1",https://www.imdb.com/pt/title/tt0032551/?ref_=chttp_t_244
Na Natureza Selvagem,2007,2h 28m,12,"8,0",https://www.imdb.com/pt/title/tt0758758/?ref_=chttp_t_245
Feitiço do Tempo,1993,1h 41m,12,"8,0",https://www.imdb.com/pt/title/tt0107048/?ref_=chttp_t_246
Histórias Cruzadas,2011,2h 26m,12,"8,1",https://www.imdb.com/pt/title/tt1454029/?ref_=chttp_t_247
Amores Brutos,2000,2h 34m,16,"8,0",https://www.imdb.com/pt/title/tt0245712/?ref_=chttp_t_248
Assassinato às Cegas,2018,2h 19m,12,"8,2",https://www.imdb.com/pt/title/tt8108198/?ref_=chttp_t_249
Demon Slayer: Mugen Train - O Filme,2020,1h 57m,14,"8,2",https://www.imdb.com/pt/title/tt11032374/?ref_=chttp_t_250
